ID,VICTIMAS,FECHA,ANIO,MES,DIA,HORA,MEDIO,COMUNA,X,Y,PARTICIPANTES,ACUSADO,ROL,DAMNIFICADO,SEXO,EDAD,OBITO,SEMESTRE
2018-0115,1,2018-10-31,2018,10,31,12:30:00,CALLE,9,"-58,53","-34,64",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,42,1,2
2018-0116,1,2018-11-01,2018,11,1,10:50:00,AUTOPISTA,8,"-58,49","-34,68",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,48,1,2
2018-0117,1,2018-11-04,2018,11,4,08:15:00,AVENIDA,9,"-58,48","-34,66",MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,30,1,2
2018-0118,1,2018-11-05,2018,11,5,14:49:00,AVENIDA,3,"-58,41","-34,61",PEATON-MOTO,MOTO,PEATON,PEATON,FEMENINO,80,1,2
2018-0119,1,2018-11-05,2018,11,5,22:35:00,AVENIDA,8,"-58,44","-34,66",PEATON-SD,DESCONOCIDO,PEATON,PEATON,FEMENINO,32,1,2
2018-0120,1,2018-11-09,2018,11,9,13:34:00,AVENIDA,12,"-58,48","-34,57",PEATON-AUTO,AUTO,PEATON,PEATON,FEMENINO,51,1,2
2018-0121,1,2018-11-09,2018,11,9,16:32:00,AVENIDA,10,"-58,50","-34,64",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,72,1,2
2018-0122,1,2018-11-12,2018,11,12,01:00:00,AUTOPISTA,8,"-58,48","-34,67",AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,33,1,2
2018-0123,1,2018-11-12,2018,11,12,03:32:00,AUTOPISTA,9,"-58,50","-34,67",AUTO-SD,DESCONOCIDO,CONDUCTOR,AUTO,MASCULINO,25,1,2
2018-0124,1,2018-11-15,2018,11,15,19:40:00,AUTOPISTA,9,"-58,52","-34,64",CARGAS-CARGAS,CARGAS,CONDUCTOR,CARGAS,MASCULINO,44,1,2
2018-0125,1,2018-11-16,2018,11,16,21:12:00,AVENIDA,4,"-58,42","-34,65",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,29,1,2
2018-0126,1,2018-11-18,2018,11,18,12:11:00,AUTOPISTA,9,"-58,53","-34,64",MOTO-AUTO,AUTO,CONDUCTOR,MOTO,MASCULINO,27,1,2
2018-0127,1,2018-11-19,2018,11,19,09:14:00,AUTOPISTA,12,"-58,51","-34,57",MOTO-MOTO,MOTO,CONDUCTOR,MOTO,MASCULINO,29,1,2
2018-0128,2,2018-11-25,2018,11,25,04:30:00,AUTOPISTA,9,"-58,53","-34,65",AUTO-PASAJEROS,PASAJEROS,PASAJERO,AUTO,MASCULINO,49,1,2
2018-0128,2,2018-11-25,2018,11,25,04:30:00,AUTOPISTA,9,"-58,53","-34,65",AUTO-PASAJEROS,PASAJEROS,PASAJERO,AUTO,FEMENINO,39,1,2
2018-0129,1,2018-11-28,2018,11,28,04:01:00,AVENIDA,15,"-58,45","-34,59",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,37,1,2
2018-0130,1,2018-12-03,2018,12,3,03:00:00,AVENIDA,10,"-58,49","-34,63",MOTO-PASAJEROS,PASAJEROS,CONDUCTOR,MOTO,MASCULINO,0,1,2
2018-0131,1,2018-12-07,2018,12,7,19:10:00,AVENIDA,1,"-58,37","-34,60",MOTO-CARGAS,CARGAS,CONDUCTOR,MOTO,MASCULINO,29,1,2
2018-0132,1,2018-12-12,2018,12,12,08:26:00,AUTOPISTA,2,"-58,39","-34,57",PEATON-CARGAS,CARGAS,PEATON,PEATON,MASCULINO,70,1,2
2018-0133,1,2018-12-12,2018,12,12,14:07:00,AVENIDA,7,"-58,47","-34,63",PEATON-CARGAS,CARGAS,PEATON,PEATON,FEMENINO,60,1,2
2018-0134,1,2018-12-12,2018,12,12,21:00:00,AVENIDA,7,"-58,42","-34,64",PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,56,1,2
2018-0135,1,2018-12-18,2018,12,18,14:40:00,AVENIDA,1,"-58,37","-34,61",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,MASCULINO,80,1,2
2018-0136,1,2018-12-18,2018,12,18,15:42:00,AVENIDA,7,"-58,46","-34,63",PEATON-PASAJEROS,PASAJEROS,PEATON,PEATON,FEMENINO,70,1,2
2018-0137,1,2018-12-18,2018,12,18,20:15:00,CALLE,1,"-58,38","-34,61",MOTO-PASAJEROS,PASAJEROS,PASAJERO,MOTO,MASCULINO,29,1,2
2018-0138,1,2018-12-21,2018,12,21,09:30:00,CALLE,10,"-58,51","-34,62",PASAJEROS-PASAJEROS,PASAJEROS,PASAJERO,PASAJEROS,FEMENINO,79,1,2
2018-0139,1,2018-12-22,2018,12,22,06:30:00,CALLE,7,"-58,45","-34,64",MOTO-MOTO,MOTO,PASAJERO,MOTO,MASCULINO,28,1,2
2018-0140,1,2018-12-22,2018,12,22,08:05:00,CALLE,1,"-58,36","-34,61",AUTO-AUTO,AUTO,CONDUCTOR,AUTO,MASCULINO,78,1,2
2018-0141,1,2018-12-22,2018,12,22,17:40:00,AVENIDA,5,"-58,42","-34,62",PEATON-MOTO,MOTO,PEATON,PEATON,MASCULINO,75,1,2
